follower_id,liked_user_id,liked_user_name,liked_user_screenname,liked_user_location,tweet_id,tweet_creation_time,tweet_text,tweet_language,tweet_reply_to_tweet_id,tweet_reply_to_user_id,tweet_is_quote,tweet_retweet_count,tweet_favorite_count,tweet_is_retweet,tweet_retweet_tweet_id,tweet_retweet_user_id,tweet_mentioned_users
/1061468390,/19711691,John Nosta,JohnNosta,07945,/1262464688664780803,Mon May 18 19:26:51 +0000 2020,"'A beautiful day' in Italy, as shops and bars finally reopen https://t.co/jL1dSA0Enu #Italy #COVID19 #coronavirus",en,/None,/None,False,1,9,0,,,[]
/1061468390,/67097001,Orthopedics Today,OrthoToday,Thorofare,/1262420317303119875,Mon May 18 16:30:32 +0000 2020,"“Orthopedic surgeons will need to transition to a ‘new normal,’ including social distancing, depersonalized care with wearing masks and limited physical contact, use of telehealth and virtual access points to the practice.” - @AnthonyRomeoMD 

Read more: https://t.co/OnLpLBfjL9",en,/None,/None,False,6,16,0,,,"[['Anthony A. Romeo, MD', 'AnthonyRomeoMD', '/891581634']]"
/1061468390,/49032795,Drue De Angelis,Druedea,"Scottsdale, AZ",/1262237385581969409,Mon May 18 04:23:38 +0000 2020,"In the age of Covid-19, when your daughter gives birth, you get to see your new granddaughter on your iPhone while sitting in the hospital parking lot. 🙏🏼❤️🙏🏼 congratulations Gabi and TJ! https://t.co/uO0NTC5oz7",en,/None,/None,False,1,17,0,,,[]
/1061468390,/291831562,Paula Piccard 🇵🇷 🇺🇸 #HAS2020,Paula_Piccard,"New York, USA",/1261781224567300096,Sat May 16 22:11:01 +0000 2020,Practice Makes Perfect: How #VR is Revolutionizing Surgical Training #healthtech #EmergingTech https://t.co/fVPCDfeU8r,en,/None,/None,False,7,10,0,,,[]
/1061468390,/552691691,Columbia Orthopedics,OrthoColumbia,"New York, New York",/1261111977340014596,Fri May 15 01:51:40 +0000 2020,"@BCshoulder @BillLevineMD Thank you for the fantastic lecture, Dr. Goel!",en,/1260931999851667459,/3410177412,False,0,3,0,,,"[['Danny P. Goel, MD', 'BCshoulder', '/3410177412'], ['Dr. William Levine', 'BillLevineMD', '/908730579297996802']]"
/1061468390,/146348980,Matias Nassi,matinassi,"Montevideo, Uruguay",/1261069832512045056,Thu May 14 23:04:12 +0000 2020,"Precision OS @PrecisionOSVR now has multiplayer support, allowing up to 5 users to collaborate inside the virtual operating room. Video inside is amazing, showing how the future of surgical #training is going to be

#VR #immersive #healthcare #OculusQuest

https://t.co/td8w2xfrQg",en,/None,/None,False,3,4,0,,,"[['Precision OS', 'PrecisionOSVR', '/1050830918309437440']]"
/1061468390,/24701041,Elsevier Orthopedics,ELSORTHOPAEDICS,US,/1261008939451383808,Thu May 14 19:02:14 +0000 2020,View a collection of articles across Elsevier journals that demonstrate varying viewpoints and learnings among colleagues on how the #COVID19 pandemic has impacted the field of orthopaedics https://t.co/AztnXlkAhj https://t.co/lFSYcyuCld,en,/None,/None,False,56,134,0,,,[]
/1061468390,/3410177412,"Danny P. Goel, MD",BCshoulder,"Vancouver, BC",/1260931999851667459,Thu May 14 13:56:30 +0000 2020,"Thank you @BillLevineMD and @OrthoColumbia for our ""Virtual"" Grand Rounds this morning.  It was truly a privilege.  We are only scratching the surface with #virtualreality.",en,/None,/None,False,0,15,0,,,"[['Dr. William Levine', 'BillLevineMD', '/908730579297996802'], ['Columbia Orthopedics', 'OrthoColumbia', '/552691691']]"
/1061468390,/20989739,Bone & Joint Journal,BoneJointJ,"London, UK",/1260282369459867648,Tue May 12 18:55:06 +0000 2020,Robotic-arm assisted unicompartmental knee #arthroplasty is associated with a learning curve of 6 cases for operating time &amp; surgical team confidence levels but no learning curve for accuracy of implant positioning report @bjjeditor &amp;co https://t.co/jSNhbtryzf #roboticsurgery https://t.co/rT3BR4nNaO,en,/None,/None,False,9,32,0,,,"[['Prof Fares Haddad', 'bjjeditor', '/3434448479']]"
/1061468390,/2289238296,AOA,AOA_ortho,Australia,/1260091131351662593,Tue May 12 06:15:11 +0000 2020,"Orthopaedic nurses are crucial to the safe and effective delivery of the musculoskeletal care that keeps us moving. Today, and every day, let's acknowledge and be grateful for the vital roles nurses play throughout our health care system. #InternationalNursesDay @ANZONA1 https://t.co/YWYaxSuVgq",en,/None,/None,False,7,15,0,,,"[['ANZONA', 'ANZONA1', '/2791242882']]"
/1061468390,/1050830918309437440,Precision OS,PrecisionOSVR,"Vancouver, British Columbia",/1258877054151352320,Fri May 08 21:50:53 +0000 2020,Virtual Reality Adds a New Dimension to SIGN Fracture Care’s Surgical Training https://t.co/UkoLOGzjdo via @FOREonline #partnership #FractureCare #PublicHealth #VR #VirtualReality #SurgicalTraining #orthopedics #multiplayer #RemoteEducation #humanitarian #healthcare https://t.co/Ft4tGL2bIW,en,/None,/None,False,4,5,0,,,"[['FORE', 'FOREonline', '/22187190']]"
/1061468390,/1050830918309437440,Precision OS,PrecisionOSVR,"Vancouver, British Columbia",/1258872605999640578,Fri May 08 21:33:12 +0000 2020,Use of Virtual Reality Will Help Expand SIGN Fracture Care’s Surgical Training https://t.co/92VOBzQ1SK via @ICJRortho #partnership #FractureCare #PublicHealth #VR #VirtualReality #SurgicalTraining #orthopedics #multiplayer #RemoteEducation #humanitarian #healthcare https://t.co/qZ2sgbGhGd,en,/None,/None,False,2,3,0,,,"[['ICJR', 'ICJRortho', '/410104051']]"
/1061468390,/250624569,OMTEC_BONEZONE,OMTEC_BONEZONE,,/1258842504922902528,Fri May 08 19:33:35 +0000 2020,#Infographic: Mid-Tier Orthopedic Device Companies - Annual Sales Between $200 Million and $500 Million https://t.co/liJjpS6uTH #orthopedics @CONMEDCorp  @DJOGlobal @Exactechinc https://t.co/04l2mhOsL1,en,/None,/None,False,2,3,0,,,"[['CONMED', 'CONMEDCorp', '/753283203159429121'], ['DJO Global', 'DJOGlobal', '/631533242'], ['Exactech', 'Exactechinc', '/393579602']]"
/1061468390,/2849173945,Proliance Orthopaedics & Sports Medicine,POSMOrtho,"Bellevue, Issaquah, & Redmond, WA",/1258805875101380608,Fri May 08 17:08:02 +0000 2020,Some positive local news from our area. Wishing the best to all of our teammates on the front lines! https://t.co/oD1tUnn3Ip https://t.co/KNNXHgmftq,en,/None,/None,False,0,1,0,,,[]
